Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 14/09/2026 09:58:05 GB00BDCPN049 USD $104.6200 25 NYSE VHTG1193720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:58:06 GB00BDCPN049 USD $104.6200 15 NYSE VHTG1194420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:03 GB00BDCPN049 USD $104.6300 4 UBSS VHTG1226720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:03 GB00BDCPN049 USD $104.6350 20 UBSS VHTG1226820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:03 GB00BDCPN049 USD $104.6350 20 UBSS VHTG1227120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:03 GB00BDCPN049 USD $104.6350 18 UBSS VHTG1227220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:03 GB00BDCPN049 USD $104.6400 20 UBSS VHTG1226620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:09 GB00BDCPN049 USD $104.6200 25 NYSE VHTG1230820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:10 GB00BDCPN049 USD $104.6150 10 UBSS VHTG1232420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:39 GB00BDCPN049 USD $104.6800 43 UBSS VHTG1249620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:48 GB00BDCPN049 USD $104.6800 40 UBSS VHTG1263920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:59:57 GB00BDCPN049 USD $104.6600 40 NASD VHTG1274120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:00:18 GB00BDCPN049 USD $104.6800 40 BATS VHTG1314820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:00:20 GB00BDCPN049 USD $104.6600 40 EPRL VHTG1316720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:02:04 GB00BDCPN049 USD $104.7300 100 BAML VHTG1383520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:02:04 GB00BDCPN049 USD $104.7300 45 CGXS VHTG1383620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:02:19 GB00BDCPN049 USD $104.7300 38 BAML VHTG1392120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:02:47 GB00BDCPN049 USD $104.7300 13 UBSS VHTG1406220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 10:02:47 GB00BDCPN049 USD $104.7300 13 UBSS VHTG1406320260914E
