Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 10/08/2026 09:54:06 GB00BDCPN049 USD $106.9600 25 NASD VHTG655620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:54:06 GB00BDCPN049 USD $106.9600 15 NASD VHTG655720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:54:20 GB00BDCPN049 USD $106.9300 25 BATS VHTG663320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:54:20 GB00BDCPN049 USD $106.9300 15 BATS VHTG663420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:54:20 GB00BDCPN049 USD $106.9000 20 NYSE VHTG663520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:55:09 GB00BDCPN049 USD $106.9300 40 MEMX VHTG684320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:55:09 GB00BDCPN049 USD $106.9000 1 PCSE VHTG684420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:55:09 GB00BDCPN049 USD $106.9000 39 PCSE VHTG684520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:56:02 GB00BDCPN049 USD $107.0100 40 PCSE VHTG705620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:56:38 GB00BDCPN049 USD $106.9600 25 MEMX VHTG717820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:56:38 GB00BDCPN049 USD $106.9600 15 MEMX VHTG717920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:56:38 GB00BDCPN049 USD $106.9300 25 PCSE VHTG718020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:56:38 GB00BDCPN049 USD $106.9300 15 PCSE VHTG718120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:57:01 GB00BDCPN049 USD $106.8400 80 PCSE VHTG725620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:57:01 GB00BDCPN049 USD $106.8700 20 PCSE VHTG725520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:57:11 GB00BDCPN049 USD $106.8100 80 EPRL VHTG728320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:57:13 GB00BDCPN049 USD $106.7600 60 BATS VHTG728820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:58:17 GB00BDCPN049 USD $106.7300 60 NASD VHTG768720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:58:17 GB00BDCPN049 USD $106.6800 20 PCSE VHTG768820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:58:32 GB00BDCPN049 USD $106.6000 20 NYSE VHTG776820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:58:32 GB00BDCPN049 USD $106.6500 8 PCSE VHTG776620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:58:32 GB00BDCPN049 USD $106.6500 12 PCSE VHTG776720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:59:23 GB00BDCPN049 USD $106.5500 5 NASD VHTG789120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:59:23 GB00BDCPN049 USD $106.5500 7 NASD VHTG789220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:00:00 GB00BDCPN049 USD $106.5200 20 NASD VHTG799120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:00:00 GB00BDCPN049 USD $106.5500 8 NASD VHTG799020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:00:01 GB00BDCPN049 USD $106.4700 20 PCSE VHTG799320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:00:07 GB00BDCPN049 USD $106.4700 25 PCSE VHTG802720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:00:58 GB00BDCPN049 USD $106.5300 40 PCSE VHTG818220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:29 GB00BDCPN049 USD $106.5300 25 NASD VHTG833820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:29 GB00BDCPN049 USD $106.5300 15 NASD VHTG833920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:43 GB00BDCPN049 USD $106.4700 15 PCSE VHTG839720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:43 GB00BDCPN049 USD $106.4900 20 PCSE VHTG839620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:43 GB00BDCPN049 USD $106.5100 40 PCSE VHTG839520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:48 GB00BDCPN049 USD $106.4800 1 NASD VHTG844220260810E
