Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG308120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 7 UBSS VHTG308220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 6 UBSS VHTG308320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG308420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG308520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG308620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG308720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 2 UBSS VHTG308820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:14 GB00BDCPN049 USD $108.3250 46 IEXG VHTG312720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:14 GB00BDCPN049 USD $108.3100 25 MEMX VHTG312520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:14 GB00BDCPN049 USD $108.3100 15 MEMX VHTG312620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:25 GB00BDCPN049 USD $108.2300 25 NASD VHTG315320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:25 GB00BDCPN049 USD $108.2300 15 NASD VHTG315420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:52:10 GB00BDCPN049 USD $108.2400 3 UBSS VHTG327120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:52:10 GB00BDCPN049 USD $108.2400 18 UBSS VHTG327220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:53:01 GB00BDCPN049 USD $108.3300 100 UBSS VHTG340720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:53:01 GB00BDCPN049 USD $108.3300 100 UBSS VHTG341020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:53:01 GB00BDCPN049 USD $108.3300 32 UBSS VHTG341120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:53:15 GB00BDCPN049 USD $108.3200 58 BAML VHTG344820260831E
