Smith & Nephew plc
Date of transaction: 29 November 2016
29-Nov-2016 14:19:27 GMT 1541 1119.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 990 1117.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 984 1117.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 1186 1117.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 1184 1117.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 986 1117.0000 GBp XLON
29-Nov-2016 10:20:21 GMT 491 1114.0000 GBp XLON
29-Nov-2016 16:10:51 GMT 3784 1124.0000 GBp XLON
29-Nov-2016 14:59:29 GMT 1205 1121.0000 GBp XLON
29-Nov-2016 10:20:21 GMT 476 1114.0000 GBp XLON
29-Nov-2016 10:20:21 GMT 1352 1114.0000 GBp XLON
29-Nov-2016 09:50:31 GMT 512 1120.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 967 1115.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 974 1115.0000 GBp XLON
29-Nov-2016 09:50:31 GMT 800 1120.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 966 1115.0000 GBp XLON
29-Nov-2016 09:50:31 GMT 286 1120.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 810 1115.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 974 1115.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 973 1115.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 1234 1115.0000 GBp XLON
29-Nov-2016 14:47:13 GMT 87 1122.0000 GBp XLON
29-Nov-2016 14:47:13 GMT 100 1122.0000 GBp XLON
29-Nov-2016 14:47:13 GMT 820 1122.0000 GBp XLON
29-Nov-2016 14:47:13 GMT 750 1122.0000 GBp XLON
29-Nov-2016 14:47:13 GMT 16 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 286 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 267 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 416 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 360 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 286 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 320 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 800 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 800 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 300 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 286 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 286 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 784 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 286 1122.0000 GBp XLON
29-Nov-2016 13:22:59 GMT 750 1122.0000 GBp XLON
29-Nov-2016 13:23:00 GMT 800 1122.0000 GBp XLON
29-Nov-2016 13:23:00 GMT 800 1122.0000 GBp XLON
29-Nov-2016 13:23:00 GMT 181 1122.0000 GBp XLON
29-Nov-2016 09:46:16 GMT 966 1119.0000 GBp XLON
29-Nov-2016 13:23:00 GMT 409 1122.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 973 1115.0000 GBp XLON
29-Nov-2016 10:58:20 GMT 342 1115.0000 GBp XLON
29-Nov-2016 09:38:51 GMT 9 1121.0000 GBp XLON
