ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
EG7.IR,financial_health,Financial Health,False,0.8,"['D/E=11%', 'leverage=3.9%', 'ratio=-1.3', 'coverage=22.1x']",['weak liquidity'],
GL9.IR,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=192.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
GL9.IR,graham_enterprising,Graham Enterprising,False,0.6,"['Debt/equity < 100%: D/E=64%', 'ROE > 8%: ROE=12.0%', 'Positive earnings growth: growth=63.7%']","['P/E >= 25', 'P/B >= 3']",
GL9.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
GL9.IR,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
GL9.IR,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
GL9.IR,earnings_yield,Earnings Yield,False,0.3015,['E/P=3.6% (P/E=27.6)'],['earnings yield 3.6% below 8%'],
GL9.IR,fcf_yield,FCF Yield,True,0.588,['FCF yield=5.9%'],[],
GL9.IR,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=192.0%'],['P/E not below 12.0'],
GL9.IR,lynch_peg,Lynch PEG,True,0.566,"['PEG=0.43', 'growth=63.7%']",[],
GL9.IR,neff_pegy,Neff PEGY,True,0.8919,"['PEGY=0.11', 'growth=63.7%', 'yield=192.0%']",[],
GL9.IR,quality_value,Quality Value,True,0.8,"['ROE >= 12%: ROE=12.0%', 'Profit margin >= 5%: margin=5.8%', 'Debt/equity < 80%: D/E=64%', 'FCF yield >= 3%: FCF yield=5.9%']",['P/E >= 20'],
GL9.IR,buffett_quality,Buffett Quality,False,0.0,[],"['ROE too low', 'too much debt', 'thin margins', 'P/E too high']",
GL9.IR,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
GL9.IR,high_dividend,High Dividend Yield,False,0.2941,"['yield=192.0%', 'universe rank 29%']",['not in top quartile for yield'],
GL9.IR,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=192.0%', 'earnings growth: growth=63.7%']",['P/E out of range'],
GL9.IR,magic_formula,Magic Formula,False,0.35,['ROIC rank 50%'],['below top half on combined Magic Formula rank'],
GL9.IR,acquirers_multiple,Acquirer's Multiple,False,0.2,"['EV/EBIT=23.5', 'universe rank 20%']","['EV/EBIT 23.5 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
GL9.IR,dreman_contrarian,Dreman Contrarian,False,0.1851,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
GL9.IR,piotroski_f,Piotroski F-Score,False,0.6667,"['F-Score=6/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'no share dilution', 'asset turnover improving']","['F-Score 6/9 below 7', 'leverage declining', 'current ratio improving', 'gross margin improving']","{'f_score': 6, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': True}]}"
GL9.IR,composite_value,Composite Value,False,0.425,[],[],
